division,district,block,cluster,school,week,teachers_registered,baseline_assessments,baseline_average_level,tutoring_calls,endline_assessments,endline_average_level
Demo division,Demo district,Demo block,Demo cluster,Demo school,2025-02-10/2025-02-16,1,2,2.5,3,1,0.0
KALABURAGI,VIJAYANAGARA,HAGARIBOMMANAHALLI,HAMPASAGARA,G H P S HAMPA SAGARA-III,2025-02-10/2025-02-16,1,1,3.0,0,0,
KALABURAGI,VIJAYANAGARA,HAGARIBOMMANAHALLI,HAMPASAGARA,G H P S HAMPA SAGARA-III,2025-02-24/2025-03-02,1,3,1.0,8,3,3.0
KALABURAGI,YADAGIRI,SHORAPUR,RAJANKOLUR,G H P S KADADARAL,2025-02-10/2025-02-16,3,15,0.9333333333333333,22,9,2.7777777777777777
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,BAGEPALLI RURAL,G H P S KOTHAPALLI,2025-02-10/2025-02-16,1,3,1.3333333333333333,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,YALLAMPALLI,G H P S LAGUMADDEPALLI,2025-02-03/2025-02-09,1,3,2.0,3,3,2.0
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S MALLASANDRA,2025-01-20/2025-01-26,1,1,1.0,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S MALLASANDRA,2025-02-03/2025-02-09,1,1,1.0,1,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S MALLASANDRA,2025-02-10/2025-02-16,1,1,0.0,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S PEDDATHUMKEPALLI,2025-01-20/2025-01-26,1,4,0.25,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G H P S PEDDATHUMKEPALLI,2025-02-10/2025-02-16,1,3,1.3333333333333333,25,6,1.6666666666666667
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G L P S KADIRANNAGARIPALLI,2025-01-20/2025-01-26,1,1,1.0,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G L P S KADIRANNAGARIPALLI,2025-02-03/2025-02-09,1,1,1.0,0,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G L P S MUDDALAPALLI,2025-01-20/2025-01-26,2,2,1.5,2,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,DEVARAGUDIPALLI,G L P S SADLAVARAPALLI,2025-01-20/2025-01-26,1,3,1.0,3,0,
BENGALURU,CHIKKABALLAPURA,BAGEPALLY,URDU,G U L P S RAHAMATHNAGARA BAGEPALLY,2025-02-03/2025-02-09,1,0,,2,0,
DHARWAD,GADAG,RON,RAJUR,G.H.P.S DINDUR,2025-02-10/2025-02-16,2,12,3.0833333333333335,0,0,
DHARWAD,GADAG,RON,RAJUR,G.H.P.S DINDUR,2025-02-17/2025-02-23,1,0,,0,0,
DHARWAD,DHARWAD,KALGHATAGI,TABAKADHONNALI,G.H.P.S MODEL CENTRAL TABAKADAHONNIHALLI,2025-02-10/2025-02-16,2,2,2.0,1,0,
DHARWAD,DHARWAD,KALGHATAGI,TABAKADHONNALI,G.H.P.S MODEL CENTRAL TABAKADAHONNIHALLI,2025-02-17/2025-02-23,1,0,,9,0,
DHARWAD,DHARWAD,KALGHATAGI,TABAKADHONNALI,G.H.P.S MODEL CENTRAL TABAKADAHONNIHALLI,2025-02-24/2025-03-02,2,4,2.25,1,7,1.4285714285714286
KALABURAGI,YADAGIRI,SHORAPUR,KODEKAL,G.L.P.S.Pyti Gudi Area Kodekal,2025-02-03/2025-02-09,4,5,1.4,12,7,2.857142857142857
KALABURAGI,YADAGIRI,SHORAPUR,KODEKAL,G.L.P.S.Pyti Gudi Area Kodekal,2025-02-10/2025-02-16,4,17,1.6470588235294117,83,1,0.0
KALABURAGI,YADAGIRI,SHORAPUR,KODEKAL,G.L.P.S.Pyti Gudi Area Kodekal,2025-02-17/2025-02-23,1,1,1.0,1,1,1.0
KALABURAGI,YADAGIRI,SHORAPUR,KODEKAL,G.L.P.S.Pyti Gudi Area Kodekal,2025-02-24/2025-03-02,2,2,1.0,10,4,4.0
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,G.URDU.L.P.SCHOOL TEKKALAKOTE,2025-02-17/2025-02-23,1,3,1.3333333333333333,12,3,4.0
KALABURAGI,RAICHUR,LINGASUGUR,GURAGUNTA,"G.URDU.LOWER PRIMARY SCHOOL, GURUGUNTA",2025-01-27/2025-02-02,1,1,2.0,2,0,
KALABURAGI,RAICHUR,LINGASUGUR,GURAGUNTA,"G.URDU.LOWER PRIMARY SCHOOL, GURUGUNTA",2025-02-10/2025-02-16,3,21,0.9047619047619048,63,19,2.789473684210526
KALABURAGI,BALLARI,BELLARY WEST,URDU BALLARI WEST,GGHPS URDU 19th WARD BLY,2025-02-24/2025-03-02,3,0,,5,0,
KALABURAGI,BALLARI,BELLARY WEST,URDU BALLARI WEST,GGHPS URDU 21ST WARD BANDIHATTI(W),2025-02-24/2025-03-02,3,6,1.6666666666666667,6,5,1.6
KALABURAGI,BALLARI,BELLARY WEST,URDU BALLARI WEST,GGHPS URDU 22ND WARD BANDHI HATTI(W),2025-02-24/2025-03-02,2,0,,1,8,4.0
KALABURAGI,BALLARI,BELLARY WEST,"WARD 8TH, KAMPLI",GGHPS URDU 3rd WARD KAMPLI,2025-02-24/2025-03-02,2,2,2.0,0,2,3.0
KALABURAGI,VIJAYANAGARA,HADAGALI,HUVINA HADAGALI(A),GGHPS URDU 5TH WARD HADAGALI,2025-02-17/2025-02-23,1,7,1.7142857142857142,0,3,1.6666666666666667
KALABURAGI,VIJAYANAGARA,HADAGALI,HUVINA HADAGALI(A),GGHPS URDU 5TH WARD HADAGALI,2025-02-24/2025-03-02,1,3,2.0,0,0,
KALABURAGI,VIJAYANAGARA,HOSPET,URDU HOSAPETE,GGHPS URDU 5TH WARD KAMALAPUR,2025-02-10/2025-02-16,1,10,1.2,0,10,2.0
KALABURAGI,VIJAYANAGARA,HOSPET,URDU HOSAPETE,GGHPS URDU 5TH WARD KAMALAPUR,2025-02-17/2025-02-23,1,0,,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGHPS URDU 5TH WARD SIRUGUPPA,2025-02-10/2025-02-16,2,3,1.0,9,0,
KALABURAGI,BALLARI,BELLARY WEST,"WARD 8TH, KAMPLI",GGHPS URDU 9th WARD KAMPLI,2025-02-24/2025-03-02,2,0,,4,0,
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGHPS URDU SANAVASAPUR,2025-02-10/2025-02-16,2,8,0.875,42,1,4.0
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGHPS URDU SANAVASAPUR,2025-02-17/2025-02-23,2,0,,2,1,1.0
KALABURAGI,BALLARI,SIRUGUPPA,URDU SIRUGUPPA,GGHPS URDU SANAVASAPUR,2025-02-24/2025-03-02,2,0,,2,1,4.0
KALABURAGI,BALLARI,SANDUR,URDU SANDUR,GGHPS URDU SANDUR,2025-02-10/2025-02-16,1,2,2.5,1,0,
KALABURAGI,BALLARI,BELLARY WEST,URDU BALLARI WEST,GGLPS URDU 24th WARD BELLARY,2025-02-24/2025-03-02,2,0,,3,0,
KALABURAGI,VIJAYANAGARA,HADAGALI,HUVINA HADAGALI(A),GGLPS URDU 5TH WARD HADAGALI,2025-02-17/2025-02-23,1,0,,0,0,
KALABURAGI,VIJAYANAGARA,HADAGALI,HUVINA HADAGALI(A),GGLPS URDU 5TH WARD HADAGALI,2025-02-24/2025-03-02,1,9,1.8888888888888888,0,2,2.0
KALABURAGI,BALLARI,BELLARY EAST,URDU BALLARI EAST,GGLPS URDU ANDRAL,2025-02-17/2025-02-23,1,1,3.0,0,0,
KALABURAGI,BALLARI,SIRUGUPPA,KENCHANAGUDDA,GGLPS URDU DEVALAPURA,2025-02-10/2025-02-16,1,2,3.0,2,0,
KALABURAGI,BALLARI,SIRUGUPPA,KENCHANAGUDDA,GGLPS URDU DEVALAPURA,2025-02-17/2025-02-23,1,0,,1,0,
KALABURAGI,BALLARI,SANDUR,URDU SANDUR,GGLPS URDU HOSA CHAPPARDA HALLI,2025-02-10/2025-02-16,1,3,0.6666666666666666,0,0,
